customer_id,total_debit_amount_cad,total_credit_amount_cad,debit_count,credit_count,transaction_frequency,avg_transaction_interval_day,mode_transaction_interval_day,mode_transaction_type,date_range,max_credit_transaction_amount,avg_credit_transaction_amount,max_debit_transaction_amount,avg_debit_transaction_amount,ecommerce_ratio,cash_ratio
SYNCID0000000000,0.03,6731.28,2,1,3,26.5,-1,5,53,0.03,0.03,6316.04,3365.64,0.0,0.0
SYNCID0000000002,97022.62000000001,105803.94,14,13,27,5.117647058823529,0,2,87,77716.16,7463.278461538463,72621.39,7557.424285714286,0.0,0.0
SYNCID0000000004,8805.86,7534.12,41,3,44,2.606060606060606,1,1,86,9179.35,2935.286666666667,1241.79,183.7590243902439,0.045454545454545456,0.0
SYNCID0000000005,39796.880000000005,125453.59,15,35,50,2.84375,0,3,91,28691.52,1137.0537142857145,60607.55,8363.572666666667,0.0,0.0
SYNCID0000000006,141466.98,6119.219999999999,2,1,3,21.0,-1,2,42,141466.98,141466.98,3071.24,3059.6099999999997,0.0,0.0
SYNCID0000000007,36240.149999999994,99395.64,35,14,49,2.5142857142857142,0,2,88,31696.44,2588.5821428571426,34161.08,2839.8754285714285,0.1875,0.0
SYNCID0000000008,17353.489999999998,1582.04,1,8,9,9.75,7,2,78,10847.88,2169.1862499999997,1582.04,1582.04,0.0,0.0
SYNCID0000000009,62353.19,38607.96,47,27,74,1.9148936170212767,0,1,90,12807.84,2309.3774074074076,12055.15,821.4459574468085,0.21875,0.0
SYNCID0000000010,5437.35,16654.29,22,10,32,3.7916666666666665,0,3,91,1299.36,543.735,3459.9,757.0131818181818,0.0,0.0
SYNCID0000000011,35467.77,359858.27999999997,114,17,131,1.6545454545454545,0,2,91,11548.01,2086.339411764706,85465.95,3156.6515789473683,0.1111111111111111,0.0
SYNCID0000000012,66605.0,6562.36,41,6,47,2.727272727272727,0,1,90,56411.3,11100.833333333334,1045.08,160.05756097560976,0.2,0.0
SYNCID0000000013,1851509.6500000001,680795.54,279,35,314,1.0459770114942528,0,1,91,1721280.34,52900.275714285715,522244.13,2440.127383512545,0.17228464419475656,0.0
SYNCID0000000014,23435.26,96116.90999999999,60,21,81,1.7843137254901962,1,1,91,12778.48,1115.9647619047619,66908.87,1601.9484999999997,0.12727272727272726,0.0
SYNCID0000000015,313959.44,7925.56,10,5,15,7.0,3,3,91,312788.86,62791.888,3844.31,792.556,0.0,0.0
SYNCID0000000016,1160.3,26600.839999999997,3,5,8,17.4,0,3,87,653.27,232.06,22442.3,8866.946666666665,0.0,0.0
SYNCID0000000018,193341.06,25866.34,39,3,42,2.838709677419355,1,1,88,193408.79,64447.02,8022.51,663.2394871794871,0.30952380952380953,0.0
SYNCID0000000019,699189.21,144361.27,102,29,131,1.5423728813559323,0,2,91,600016.68,24109.97275862069,24266.64,1415.3065686274508,0.08571428571428572,0.0
SYNCID0000000021,76787.73000000001,22767.36,5,13,18,5.6,3,3,84,64359.41,5906.748461538462,15891.29,4553.472,0.0,0.0
SYNCID0000000022,49858.05,42651.46,56,53,109,1.5964912280701755,0,4,91,23565.02,940.717924528302,25850.35,761.6332142857143,0.42424242424242425,0.0
