Code,MCC Group1,Group Description1
0,MCCG42,Other
742,MCCG20,Building Services
763,MCCG20,Building Services
780,MCCG20,Building Services
1520,MCCG20,Building Services
1711,MCCG20,Building Services
1731,MCCG20,Building Services
1740,MCCG20,Building Services
1750,MCCG20,Building Services
1761,MCCG20,Building Services
1771,MCCG20,Building Services
1799,MCCG20,Building Services
2741,MCCG27,Office Service
2791,MCCG27,Office Service
2842,MCCG27,Office Service
3000,MCCG1,Airlines
3001,MCCG1,Airlines
3002,MCCG1,Airlines
3003,MCCG1,Airlines
3004,MCCG1,Airlines
3005,MCCG1,Airlines
3006,MCCG1,Airlines
3007,MCCG1,Airlines
3008,MCCG1,Airlines
3009,MCCG1,Airlines
3010,MCCG1,Airlines
3011,MCCG1,Airlines
3012,MCCG1,Airlines
3013,MCCG1,Airlines
3014,MCCG1,Airlines
3015,MCCG1,Airlines
3016,MCCG1,Airlines
3017,MCCG1,Airlines
3018,MCCG1,Airlines
3019,MCCG1,Airlines
3020,MCCG1,Airlines
3021,MCCG1,Airlines
3022,MCCG1,Airlines
3023,MCCG1,Airlines
3024,MCCG1,Airlines
3025,MCCG1,Airlines
3026,MCCG1,Airlines
3027,MCCG1,Airlines
3028,MCCG1,Airlines
3029,MCCG1,Airlines
3030,MCCG1,Airlines
3031,MCCG1,Airlines
3032,MCCG1,Airlines
3033,MCCG1,Airlines
3034,MCCG1,Airlines
3035,MCCG1,Airlines
3036,MCCG1,Airlines
3037,MCCG1,Airlines
3038,MCCG1,Airlines
3039,MCCG1,Airlines
3040,MCCG1,Airlines
3041,MCCG1,Airlines
3042,MCCG1,Airlines
3043,MCCG1,Airlines
3044,MCCG1,Airlines
3045,MCCG1,Airlines
3046,MCCG1,Airlines
3047,MCCG1,Airlines
3048,MCCG1,Airlines
3049,MCCG1,Airlines
3050,MCCG1,Airlines
3051,MCCG1,Airlines
3052,MCCG1,Airlines
3053,MCCG1,Airlines
3054,MCCG1,Airlines
3055,MCCG1,Airlines
3056,MCCG1,Airlines
3057,MCCG1,Airlines
3058,MCCG1,Airlines
3059,MCCG1,Airlines
3060,MCCG1,Airlines
3061,MCCG1,Airlines
3062,MCCG1,Airlines
3063,MCCG1,Airlines
3064,MCCG1,Airlines
3065,MCCG1,Airlines
3066,MCCG1,Airlines
3067,MCCG1,Airlines
3068,MCCG1,Airlines
3069,MCCG1,Airlines
3070,MCCG1,Airlines
3071,MCCG1,Airlines
3072,MCCG1,Airlines
3073,MCCG1,Airlines
3074,MCCG1,Airlines
3075,MCCG1,Airlines
3076,MCCG1,Airlines
3077,MCCG1,Airlines
3078,MCCG1,Airlines
3079,MCCG1,Airlines
3080,MCCG1,Airlines
3081,MCCG1,Airlines
3082,MCCG1,Airlines
3083,MCCG1,Airlines
3084,MCCG1,Airlines
3085,MCCG1,Airlines
3086,MCCG1,Airlines
3087,MCCG1,Airlines
3088,MCCG1,Airlines
3089,MCCG1,Airlines
3090,MCCG1,Airlines
3091,MCCG1,Airlines
3092,MCCG1,Airlines
3093,MCCG1,Airlines
3094,MCCG1,Airlines
3095,MCCG1,Airlines
3096,MCCG1,Airlines
3097,MCCG1,Airlines
3098,MCCG1,Airlines
3099,MCCG1,Airlines
3100,MCCG1,Airlines
3101,MCCG1,Airlines
3102,MCCG1,Airlines
3103,MCCG1,Airlines
3104,MCCG1,Airlines
3105,MCCG1,Airlines
3106,MCCG1,Airlines
3107,MCCG1,Airlines
3108,MCCG1,Airlines
3109,MCCG1,Airlines
3110,MCCG1,Airlines
3111,MCCG1,Airlines
3112,MCCG1,Airlines
3113,MCCG1,Airlines
3114,MCCG1,Airlines
3115,MCCG1,Airlines
3116,MCCG1,Airlines
3117,MCCG1,Airlines
3118,MCCG1,Airlines
3119,MCCG1,Airlines
3120,MCCG1,Airlines
3121,MCCG1,Airlines
3122,MCCG1,Airlines
3123,MCCG1,Airlines
3124,MCCG1,Airlines
3125,MCCG1,Airlines
3126,MCCG1,Airlines
3127,MCCG1,Airlines
3128,MCCG1,Airlines
3129,MCCG1,Airlines
3130,MCCG1,Airlines
3131,MCCG1,Airlines
3132,MCCG1,Airlines
3133,MCCG1,Airlines
3134,MCCG1,Airlines
3135,MCCG1,Airlines
3136,MCCG1,Airlines
3137,MCCG1,Airlines
3138,MCCG1,Airlines
3139,MCCG1,Airlines
3140,MCCG1,Airlines
3141,MCCG1,Airlines
3142,MCCG1,Airlines
3143,MCCG1,Airlines
3144,MCCG1,Airlines
3145,MCCG1,Airlines
3146,MCCG1,Airlines
3147,MCCG1,Airlines
3148,MCCG1,Airlines
3149,MCCG1,Airlines
3150,MCCG1,Airlines
3151,MCCG1,Airlines
3152,MCCG1,Airlines
3153,MCCG1,Airlines
3154,MCCG1,Airlines
3155,MCCG1,Airlines
3156,MCCG1,Airlines
3157,MCCG1,Airlines
3158,MCCG1,Airlines
3159,MCCG1,Airlines
3160,MCCG1,Airlines
3161,MCCG1,Airlines
3162,MCCG1,Airlines
3163,MCCG1,Airlines
3164,MCCG1,Airlines
3165,MCCG1,Airlines
3166,MCCG1,Airlines
3167,MCCG1,Airlines
3168,MCCG1,Airlines
3169,MCCG1,Airlines
3170,MCCG1,Airlines
3171,MCCG1,Airlines
3172,MCCG1,Airlines
3173,MCCG1,Airlines
3174,MCCG1,Airlines
3175,MCCG1,Airlines
3176,MCCG1,Airlines
3177,MCCG1,Airlines
3178,MCCG1,Airlines
3179,MCCG1,Airlines
3180,MCCG1,Airlines
3181,MCCG1,Airlines
3182,MCCG1,Airlines
3183,MCCG1,Airlines
3184,MCCG1,Airlines
3185,MCCG1,Airlines
3186,MCCG1,Airlines
3187,MCCG1,Airlines
3188,MCCG1,Airlines
3189,MCCG1,Airlines
3190,MCCG1,Airlines
3191,MCCG1,Airlines
3192,MCCG1,Airlines
3193,MCCG1,Airlines
3194,MCCG1,Airlines
3195,MCCG1,Airlines
3196,MCCG1,Airlines
3197,MCCG1,Airlines
3198,MCCG1,Airlines
3199,MCCG1,Airlines
3200,MCCG1,Airlines
3201,MCCG1,Airlines
3202,MCCG1,Airlines
3203,MCCG1,Airlines
3204,MCCG1,Airlines
3205,MCCG1,Airlines
3206,MCCG1,Airlines
3207,MCCG1,Airlines
3208,MCCG1,Airlines
3209,MCCG1,Airlines
3210,MCCG1,Airlines
3211,MCCG1,Airlines
3212,MCCG1,Airlines
3213,MCCG1,Airlines
3214,MCCG1,Airlines
3215,MCCG1,Airlines
3216,MCCG1,Airlines
3217,MCCG1,Airlines
3218,MCCG1,Airlines
3219,MCCG1,Airlines
3220,MCCG1,Airlines
3221,MCCG1,Airlines
3222,MCCG1,Airlines
3223,MCCG1,Airlines
3224,MCCG1,Airlines
3225,MCCG1,Airlines
3226,MCCG1,Airlines
3227,MCCG1,Airlines
3228,MCCG1,Airlines
3229,MCCG1,Airlines
3230,MCCG1,Airlines
3231,MCCG1,Airlines
3232,MCCG1,Airlines
3233,MCCG1,Airlines
3234,MCCG1,Airlines
3235,MCCG1,Airlines
3236,MCCG1,Airlines
3237,MCCG1,Airlines
3238,MCCG1,Airlines
3239,MCCG1,Airlines
3240,MCCG1,Airlines
3241,MCCG1,Airlines
3242,MCCG1,Airlines
3243,MCCG1,Airlines
3244,MCCG1,Airlines
3245,MCCG1,Airlines
3246,MCCG1,Airlines
3247,MCCG1,Airlines
3248,MCCG1,Airlines
3249,MCCG1,Airlines
3250,MCCG1,Airlines
3251,MCCG1,Airlines
3252,MCCG1,Airlines
3253,MCCG1,Airlines
3254,MCCG1,Airlines
3255,MCCG1,Airlines
3256,MCCG1,Airlines
3257,MCCG1,Airlines
3258,MCCG1,Airlines
3259,MCCG1,Airlines
3260,MCCG1,Airlines
3261,MCCG1,Airlines
3262,MCCG1,Airlines
3263,MCCG1,Airlines
3264,MCCG1,Airlines
3265,MCCG1,Airlines
3266,MCCG1,Airlines
3267,MCCG1,Airlines
3268,MCCG1,Airlines
3269,MCCG1,Airlines
3270,MCCG1,Airlines
3271,MCCG1,Airlines
3272,MCCG1,Airlines
3273,MCCG1,Airlines
3274,MCCG1,Airlines
3275,MCCG1,Airlines
3276,MCCG1,Airlines
3277,MCCG1,Airlines
3278,MCCG1,Airlines
3279,MCCG1,Airlines
3280,MCCG1,Airlines
